"id","created_at","name","has_test","alternate_url"
"116880559","2025-02-07T09:42:27+0300","Стажер Data Scientist",false,"https://hh.ru/vacancy/116880559"
"116604182","2025-01-31T12:52:47+0300","ML-инженер (Junior Data Scientist)",false,"https://hh.ru/vacancy/116604182"
"116807352","2025-02-05T15:44:49+0300","Data Scientist, Лимасол",false,"https://hh.ru/vacancy/116807352"
"116837495","2025-02-06T12:29:59+0300","Data Scientist",false,"https://hh.ru/vacancy/116837495"
"115928521","2025-02-03T13:41:23+0300","Стажер Data scientist",false,"https://hh.ru/vacancy/115928521"
"116041459","2025-02-05T22:28:08+0300","Junior Data Scientist / ML-engineer",false,"https://hh.ru/vacancy/116041459"
"116892884","2025-02-07T12:17:31+0300","Мастер нейросетей для творческого и легкого проекта",false,"https://hh.ru/vacancy/116892884"
"116824305","2025-02-06T08:46:34+0300","Data Аналитик/Data scientist по ИИ-проектам",false,"https://hh.ru/vacancy/116824305"
"116566430","2025-01-30T14:17:16+0300","Junior Data Engineer",false,"https://hh.ru/vacancy/116566430"
"116566429","2025-01-30T14:17:16+0300","Junior Data Engineer",false,"https://hh.ru/vacancy/116566429"
"116684708","2025-02-03T08:40:26+0300","Data Scientist / Специалист в области машинного обучения",false,"https://hh.ru/vacancy/116684708"
"116112486","2025-01-22T20:29:40+0300","Data Scientist",false,"https://hh.ru/vacancy/116112486"
"116846157","2025-02-06T15:00:25+0300","Middle Data Scientist",false,"https://hh.ru/vacancy/116846157"
"116831059","2025-02-06T10:45:30+0300","Data Scientist",false,"https://hh.ru/vacancy/116831059"
"116477668","2025-01-28T18:17:30+0300","Data Scientist",false,"https://hh.ru/vacancy/116477668"
"114020524","2025-01-31T17:34:45+0300","Junior Data Scientist/MLE",false,"https://hh.ru/vacancy/114020524"
"116718851","2025-02-03T16:44:32+0300","ML-аналитик/Data Scientist",false,"https://hh.ru/vacancy/116718851"
"115097833","2025-01-09T01:01:02+0300","Data-scientist junior level",false,"https://hh.ru/vacancy/115097833"
"116786041","2025-02-05T10:08:11+0300","Аналитик данных (Data Analyst)",false,"https://hh.ru/vacancy/116786041"
"116814633","2025-02-05T19:36:28+0300","Инженер-нефтяник",false,"https://hh.ru/vacancy/116814633"
